"ID";"Leeftijd";"Marges";"WijkenEnBuurten";"Perioden";"SoortRegio_2";"Codering_3";"EenOfMeerLangdurigeAandoeningen_16";"BeperktVanwegeGezondheid_17";"ErnstigBeperktVanwegeGezondheid_18";"LangdurigeZiekteEnBeperkt_19"
"312590";"80200";"MW00000";"BU00590208";"2020JJ00";"Buurt     ";"BU00590208          ";"    44.6";"    43.8";"     9.0";"    41.6"
"312593";"80200";"MW00000";"BU00590209";"2020JJ00";"Buurt     ";"BU00590209          ";"    46.0";"    47.3";"     6.5";"    45.2"
"312596";"80200";"MW00000";"GM0482    ";"2020JJ00";"Gemeente  ";"GM0482              ";"    47.1";"    49.4";"     8.3";"    46.2"
"312599";"80200";"MW00000";"WK048201  ";"2020JJ00";"Wijk      ";"WK048201            ";"    45.8";"    48.1";"     7.5";"    44.8"
"312602";"80200";"MW00000";"BU04820101";"2020JJ00";"Buurt     ";"BU04820101          ";"    45.2";"    50.9";"     7.3";"    46.9"
"312605";"80200";"MW00000";"BU04820102";"2020JJ00";"Buurt     ";"BU04820102          ";"    51.3";"    57.5";"    11.2";"    54.1"
"312608";"80200";"MW00000";"BU04820103";"2020JJ00";"Buurt     ";"BU04820103          ";"    47.2";"    47.6";"     6.6";"    44.2"
"312611";"80200";"MW00000";"BU04820104";"2020JJ00";"Buurt     ";"BU04820104          ";"    47.9";"    49.9";"     7.7";"    47.4"
"312614";"80200";"MW00000";"BU04820105";"2020JJ00";"Buurt     ";"BU04820105          ";"    41.2";"    39.6";"     5.8";"    36.8"
"312617";"80200";"MW00000";"WK048202  ";"2020JJ00";"Wijk      ";"WK048202            ";"    47.4";"    50.5";"     7.8";"    46.7"
"312620";"80200";"MW00000";"BU04820201";"2020JJ00";"Buurt     ";"BU04820201          ";"    44.0";"    43.0";"     5.5";"    40.4"
"312623";"80200";"MW00000";"BU04820202";"2020JJ00";"Buurt     ";"BU04820202          ";"    46.7";"    51.8";"     7.5";"    46.5"
"312626";"80200";"MW00000";"BU04820203";"2020JJ00";"Buurt     ";"BU04820203          ";"    47.6";"    48.8";"     8.1";"    46.0"
"312629";"80200";"MW00000";"BU04820204";"2020JJ00";"Buurt     ";"BU04820204          ";"       .";"       .";"       .";"       ."
"312632";"80200";"MW00000";"BU04820205";"2020JJ00";"Buurt     ";"BU04820205          ";"    50.5";"    54.5";"     9.1";"    51.1"
"312635";"80200";"MW00000";"BU04820206";"2020JJ00";"Buurt     ";"BU04820206          ";"    45.2";"    53.2";"    12.3";"    50.5"
"312638";"80200";"MW00000";"WK048203  ";"2020JJ00";"Wijk      ";"WK048203            ";"    48.4";"    49.2";"     8.2";"    46.2"
"312641";"80200";"MW00000";"BU04820301";"2020JJ00";"Buurt     ";"BU04820301          ";"    44.6";"    42.7";"     5.8";"    39.6"
"312644";"80200";"MW00000";"BU04820302";"2020JJ00";"Buurt     ";"BU04820302          ";"    41.1";"    39.1";"     6.0";"    36.7"
"312647";"80200";"MW00000";"BU04820303";"2020JJ00";"Buurt     ";"BU04820303          ";"    45.7";"    41.7";"     6.1";"    38.6"
"312650";"80200";"MW00000";"BU04820304";"2020JJ00";"Buurt     ";"BU04820304          ";"    45.6";"    44.7";"     6.7";"    42.8"
"312653";"80200";"MW00000";"BU04820305";"2020JJ00";"Buurt     ";"BU04820305          ";"    51.5";"    54.2";"     9.5";"    51.5"
"312656";"80200";"MW00000";"BU04820306";"2020JJ00";"Buurt     ";"BU04820306          ";"    52.2";"    57.0";"    10.5";"    52.6"
"312659";"80200";"MW00000";"BU04820307";"2020JJ00";"Buurt     ";"BU04820307          ";"    49.2";"    51.1";"     9.0";"    48.4"
"312662";"80200";"MW00000";"WK048204  ";"2020JJ00";"Wijk      ";"WK048204            ";"    47.2";"    51.1";"     9.8";"    48.2"
"312665";"80200";"MW00000";"BU04820401";"2020JJ00";"Buurt     ";"BU04820401          ";"    47.3";"    51.7";"    10.4";"    48.7"
"312668";"80200";"MW00000";"BU04820402";"2020JJ00";"Buurt     ";"BU04820402          ";"    46.1";"    47.8";"     8.5";"    45.2"
"312671";"80200";"MW00000";"BU04820403";"2020JJ00";"Buurt     ";"BU04820403          ";"    33.9";"    33.2";"     4.3";"    31.2"
"312674";"80200";"MW00000";"BU04820404";"2020JJ00";"Buurt     ";"BU04820404          ";"    50.5";"    57.6";"    11.3";"    54.3"
"312677";"80200";"MW00000";"WK048205  ";"2020JJ00";"Wijk      ";"WK048205            ";"       .";"       .";"       .";"       ."
"312680";"80200";"MW00000";"BU04820501";"2020JJ00";"Buurt     ";"BU04820501          ";"       .";"       .";"       .";"       ."
"312683";"80200";"MW00000";"BU04820502";"2020JJ00";"Buurt     ";"BU04820502          ";"       .";"       .";"       .";"       ."
"312686";"80200";"MW00000";"BU04820503";"2020JJ00";"Buurt     ";"BU04820503          ";"       .";"       .";"       .";"       ."
"312689";"80200";"MW00000";"WK048206  ";"2020JJ00";"Wijk      ";"WK048206            ";"    37.0";"    36.4";"     5.1";"    34.3"
"312692";"80200";"MW00000";"BU04820601";"2020JJ00";"Buurt     ";"BU04820601          ";"       .";"       .";"       .";"       ."
"312695";"80200";"MW00000";"BU04820602";"2020JJ00";"Buurt     ";"BU04820602          ";"       .";"       .";"       .";"       ."
"312698";"80200";"MW00000";"BU04820603";"2020JJ00";"Buurt     ";"BU04820603          ";"       .";"       .";"       .";"       ."
"312701";"80200";"MW00000";"BU04820604";"2020JJ00";"Buurt     ";"BU04820604          ";"       .";"       .";"       .";"       ."
